# method,path,operation_id,tag,security,request_schema,response_schema,success_status,flags,queries
POST,/api/v1/auth/passkeys/authentication/options,beginIdentityPasskeyAuthentication,identity,public,IdentityPasskeyAuthenticationBeginInput,IdentityPasskeyCeremony,200,identity-security,
POST,/api/v1/auth/passkeys/authentication/verify,finishIdentityPasskeyAuthentication,identity,public,IdentityPasskeyAuthenticationFinishInput,TokenResponse,200,identity-security,
GET,/api/v1/identity/policy,getIdentityPolicy,identity,bearer,,IdentityPolicy,200,identity-security,
PUT,/api/v1/identity/policy,updateIdentityPolicy,identity,bearer,IdentityPolicyPatch,IdentityPolicy,200,identity-security,
GET,/api/v1/identity/sessions,listIdentitySessions,identity,bearer,,IdentitySessionList,200,identity-security,
DELETE,/api/v1/identity/sessions/{sessionID},revokeIdentitySession,identity,bearer,IdentitySessionRevokeInput,,204,identity-security,
POST,/api/v1/identity/sessions/sign-out,signOutIdentitySessions,identity,bearer,IdentityGlobalSignOutInput,IdentityGlobalSignOutResult,200,identity-security,
GET,/api/v1/identity/mfa/factors,listIdentityMFAFactors,identity,bearer,,IdentityMFAFactorList,200,identity-security,
POST,/api/v1/identity/mfa/totp/enrollment,beginIdentityTOTPEnrollment,identity,bearer,IdentityTOTPEnrollmentInput,IdentityTOTPEnrollment,201,identity-security,
POST,/api/v1/identity/mfa/totp/verification,verifyIdentityTOTPEnrollment,identity,bearer,IdentityTOTPVerifyInput,IdentityTOTPVerifyResult,200,identity-security,
DELETE,/api/v1/identity/mfa/factors/{factorID},disableIdentityMFAFactor,identity,bearer,IdentityMFADisableInput,,204,identity-security;step-up,
POST,/api/v1/identity/mfa/factors/{factorID}/recovery-codes,regenerateIdentityRecoveryCodes,identity,bearer,IdentityRecoveryRegenerateInput,IdentityRecoveryCodesResult,200,identity-security;step-up,
POST,/api/v1/identity/step-up/challenges,beginIdentityStepUp,identity,bearer,IdentityStepUpBeginInput,IdentityMFAChallenge,201,identity-security,
POST,/api/v1/identity/step-up/verify,verifyIdentityStepUp,identity,bearer,IdentityMFAProofInput,IdentityStepUpGrant,200,identity-security,
GET,/api/v1/identity/passkeys,listIdentityPasskeys,identity,bearer,,IdentityPasskeyList,200,identity-security,
POST,/api/v1/identity/passkeys/registration/options,beginIdentityPasskeyRegistration,identity,bearer,IdentityPasskeyRegistrationBeginInput,IdentityPasskeyCeremony,201,identity-security,
POST,/api/v1/identity/passkeys/registration/verify,finishIdentityPasskeyRegistration,identity,bearer,IdentityPasskeyRegistrationFinishInput,IdentityPasskey,201,identity-security,
DELETE,/api/v1/identity/passkeys/{passkeyID},removeIdentityPasskey,identity,bearer,IdentityPasskeyRemoveInput,,204,identity-security;step-up,
GET,/api/v1/identity/history,listIdentitySecurityHistory,identity,bearer,,IdentitySecurityEventList,200,identity-security;paginated,user_id:string:false
POST,/api/v1/directory/users/{id}/invitation,issueIdentityInvitation,directory,bearer,IdentityInvitationIssueInput,IdentityInvitation,201,identity-security,
POST,/api/v1/directory/users/{id}/mfa/reset,resetDirectoryUserMFA,directory,bearer,IdentityAdminMFAResetInput,,204,identity-security;step-up,
GET,/api/v1/settings/scim/tokens,listSCIMTokens,scim,bearer,,SCIMTokenList,200,paginated;feature-gated,
POST,/api/v1/settings/scim/tokens,createSCIMToken,scim,bearer,SCIMTokenCreateInput,SCIMTokenIssueResult,201,feature-gated,
POST,/api/v1/settings/scim/tokens/{id}/rotate,rotateSCIMToken,scim,bearer,SCIMTokenRotateInput,SCIMTokenIssueResult,200,feature-gated,
DELETE,/api/v1/settings/scim/tokens/{id},revokeSCIMToken,scim,bearer,SCIMTokenRevokeInput,,204,feature-gated,
GET,/api/scim/v2/ServiceProviderConfig,getSCIMServiceProviderConfig,scim,scim,,SCIMServiceProviderConfig,200,feature-gated,
GET,/api/scim/v2/Schemas,listSCIMSchemas,scim,scim,,SCIMDiscoveryList,200,feature-gated,
GET,/api/scim/v2/Schemas/{schema},getSCIMSchema,scim,scim,,SCIMSchemaDefinition,200,feature-gated,
GET,/api/scim/v2/ResourceTypes,listSCIMResourceTypes,scim,scim,,SCIMDiscoveryList,200,feature-gated,
GET,/api/scim/v2/ResourceTypes/{resourceType},getSCIMResourceType,scim,scim,,SCIMResourceType,200,feature-gated,
GET,/api/scim/v2/Users,listSCIMUsers,scim,scim,,SCIMUserList,200,feature-gated,startIndex:integer:false;count:integer:false;filter:string:false
POST,/api/scim/v2/Users,createSCIMUser,scim,scim,SCIMUserInput,SCIMUser,201,feature-gated;payload-limited,
GET,/api/scim/v2/Users/{id},getSCIMUser,scim,scim,,SCIMUser,200,feature-gated,
PUT,/api/scim/v2/Users/{id},replaceSCIMUser,scim,scim,SCIMUserInput,SCIMUser,200,feature-gated;payload-limited,
PATCH,/api/scim/v2/Users/{id},patchSCIMUser,scim,scim,SCIMPatchRequest,SCIMUser,200,feature-gated;payload-limited,
DELETE,/api/scim/v2/Users/{id},deleteSCIMUser,scim,scim,,,204,feature-gated,
GET,/api/scim/v2/Groups,listSCIMGroups,scim,scim,,SCIMGroupList,200,feature-gated,startIndex:integer:false;count:integer:false;filter:string:false
POST,/api/scim/v2/Groups,createSCIMGroup,scim,scim,SCIMGroupInput,SCIMGroup,201,feature-gated;payload-limited,
GET,/api/scim/v2/Groups/{id},getSCIMGroup,scim,scim,,SCIMGroup,200,feature-gated,
